name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Hilda,9.73793e+17,4.880332e+01,-527708464.94351673,323501148.43083435,-83815491.42660323,-5.850268970380159,-12.917533066800535,0.5740142482634912
Bertha,1.08759e+18,5.063483e+01,465889194.6678486,214266146.66175935,-41593706.137214966,-5.620185604168157,13.32027760014204,5.391781064686286
Scylla,8.63906e+15,1.010298e+01,-281659281.9290786,-409050666.27190083,-25026838.986112744,10.130875072662052,-10.080868805012004,-2.8640284179374524
Xanthippe,2.19011e+17,2.967901e+01,398272300.9197082,298975692.39636225,36565455.654693685,-8.155880963818008,11.654941399757163,-2.1773204612504613
Dejanira,8.28832e+15,9.964359e+00,264664491.54452673,221451128.15024057,-28458584.007542767,-15.175714108244463,13.211967969400268,4.217181972985471
Koronis,1.08260e+17,2.346656e+01,24416177.039843574,-448361618.6695261,-707672.8287631206,16.728962931625315,1.344723907758185,0.29427791818181526
Aemilia,4.55477e+17,3.788344e+01,286733107.77587795,327886843.1661178,-46488369.50392414,-14.369204696859162,10.673562405566265,0.30483727424196727
Una,1.46712e+17,2.596865e+01,-230151886.42489958,321301370.20291024,23596061.38018203,-15.72184458043945,-9.885985821080016,-0.4892866436573754
Athor,1.11293e+17,2.368369e+01,-12067516.237326607,384287963.8159285,58583048.690556295,-17.53126490815202,1.1129111331917425,1.0699394243018623
Laurentia,1.48753e+17,2.608851e+01,-175195439.8006151,-406604536.5031644,-24264824.397804767,14.46394798389017,-9.59578627392558,-1.7345699132733114
Erigone,5.81389e+16,1.907433e+01,-336660902.17946684,-49779670.13013038,13450346.74160852,-0.8051636241582875,-20.030578225406657,1.6111243884478228
Eva,2.31455e+17,3.023078e+01,-483749222.247464,-52611011.361120306,209404431.7392684,1.0584650627434287,-12.645283182285599,-1.7468284787056103
Loreley,8.71900e+17,4.703806e+01,-378606532.3795844,324998270.8739742,-28161403.183324594,-9.35492473753183,-12.309858125177296,-2.887848283815366
Rhodope,4.99421e+16,1.813215e+01,-423106603.05452126,-217199607.12068126,99019790.45500167,6.466237500608483,-13.187355217313351,0.7113214177517164
Urda,1.01034e+17,2.293239e+01,-432520117.5696495,-5272988.805422548,4105382.8041838943,0.8197509645066876,-17.36771243345546,0.6453644033010938
Sibylla,4.61814e+17,3.805830e+01,-524163544.87272817,-135552014.40582976,-9070168.288473662,3.5668985767736463,-14.592127121202896,1.1970419198606523
Zelia,7.98853e+16,2.120554e+01,291023374.29222506,139609049.1512607,15790884.03067193,-7.234754004830225,19.736575559412646,1.835359357087749
Maria,1.08260e+17,2.346656e+01,-323239653.9974398,-193922931.0783988,-96528729.7757881,8.517457918689008,-16.192968119942197,-0.31526129307161493
Ophelia,2.80845e+17,3.224403e+01,7388588.634683054,-486593322.2000404,3730638.362299466,16.063370814406067,-1.8118098746496158,-0.686523661446668
Baucis,2.48009e+17,3.093495e+01,26800091.69648354,-326182084.66507536,-48827440.51924917,20.34976301553576,3.2374880750131023,2.177332188377237
Ino,7.48974e+17,4.471460e+01,-229908183.52113026,344072235.82549256,-43853751.34630455,-16.325662391397458,-5.987876592617547,3.4469361879335465
Phaedra,3.91261e+17,3.601218e+01,134628827.32340306,460009077.5691196,98841208.18605426,-14.475085243813322,4.667912587556147,-0.8138423651701401
Andromache,2.88713e+17,3.254238e+01,-161613793.87928757,497101824.7569876,29356747.298663355,-15.038429389950034,-1.5481863998628453,0.23146793923422668
